dataset,n_samples,mean_loss,mean_cer,median_cer,mean_wer,median_wer,exact_match_rate
test,1868,0.6360016851875396,0.16244368652422425,0.1111111111111111,0.5054859858794548,0.5,0.05513918629550321
train,10517,0.47588788943151444,0.1323216273364477,0.0851063829787234,0.4424529271692651,0.4,0.1072549206047352
val,1868,0.6144837467785131,0.15900880008874088,0.11764705882352941,0.5067262420246895,0.5,0.06156316916488223
